CustomerKey,FirstName,MiddleName,LastName,CountryName,DateFirstPurchase,SalesOrderNumber,OrderDate,SalesAmount,OrderElapsedDays
27204,Devin,,Hall,United States,2013-07-27,SO62892,2013-07-27 00:00:00.000,4.99,0
12215,Karla,T,She,United Kingdom,2012-03-10,SO73618,2013-12-21 00:00:00.000,2462.03,651
11782,Barbara,K,Jai,United States,2013-08-02,SO63432,2013-08-02 00:00:00.000,109.47,0
25986,Isabel,L,Bryant,United States,2011-08-07,SO45388,2011-08-07 00:00:00.000,3374.99,0
26771,Eric,L,Shan,Australia,2013-03-15,SO54435,2013-03-15 00:00:00.000,69.99,0
11313,Trevor,,Jenkins,United States,2013-05-07,SO71574,2013-11-26 00:00:00.000,2.29,203
12164,Noah,E,Butler,United States,2011-11-25,SO46306,2011-11-25 00:00:00.000,3578.27,0
11863,Jessica,,Wood,United States,2013-09-03,SO65718,2013-09-04 00:00:00.000,39.99,1
16876,Jackson,,Sharma,Canada,2013-04-24,SO67038,2013-09-25 00:00:00.000,9.99,154
15658,Victoria,,Rogers,France,2013-09-01,SO65525,2013-09-01 00:00:00.000,64.97,0
28542,Martha,L,Zhao,France,2013-02-18,SO52946,2013-02-18 00:00:00.000,78.98,0
23344,Sharon,A,Xu,Australia,2012-07-02,SO59551,2013-06-05 00:00:00.000,1700.99,338
21592,Christina,,Reed,United States,2013-10-27,SO69268,2013-10-27 00:00:00.000,23.97,0
17696,Madison,J,Simmons,United States,2013-07-09,SO61807,2013-07-09 00:00:00.000,39.98,0
14939,Cory,L,Kapoor,Germany,2011-11-17,SO60971,2013-06-27 00:00:00.000,2369.97,588
12632,Bonnie,F,Nath,France,2011-10-12,SO57251,2013-05-01 00:00:00.000,2475.95,567
20202,Alexandra,B,Jones,Canada,2013-12-08,SO72609,2013-12-08 00:00:00.000,45.95,0
21539,Phillip,,Raman,France,2013-09-27,SO67172,2013-09-27 00:00:00.000,34.98,0
12882,Eduardo,,Allen,United States,2011-12-18,SO46522,2011-12-18 00:00:00.000,3578.27,0
12214,Julie,H,Raje,United Kingdom,2012-03-07,SO73309,2013-12-17 00:00:00.000,2422.54,650
12664,Krista,,Gill,United Kingdom,2013-05-12,SO57878,2013-05-12 00:00:00.000,68.97,0
12297,Felicia,,Blanco,Germany,2012-08-12,SO56694,2013-04-24 00:00:00.000,2419.95,255
14220,Latasha,,Romero,Australia,2012-08-11,SO64662,2013-08-20 00:00:00.000,2360.95,374
16294,Steve,A,Hu,United Kingdom,2013-07-05,SO61573,2013-07-05 00:00:00.000,13.98,0
17061,Brandi,,Alonso,Australia,2013-07-13,SO62161,2013-07-15 00:00:00.000,32.28,2
16175,Tony,M,Shan,Australia,2013-08-11,SO75033,2014-01-26 00:00:00.000,38.98,168
24263,Brooke,P,Brooks,United States,2013-07-12,SO61985,2013-07-12 00:00:00.000,34.89,0
19951,Roy,J,Moreno,Australia,2011-09-03,SO45620,2011-09-03 00:00:00.000,3578.27,0
29044,Olivia,L,Wilson,United States,2011-06-18,SO44936,2011-06-18 00:00:00.000,3578.27,0
19601,Alfredo,,Suarez,Australia,2011-08-22,SO60025,2013-06-12 00:00:00.000,1735.98,660
23563,Kurt,C,Chavez,Australia,2013-08-29,SO65331,2013-08-29 00:00:00.000,56.97,0
24432,Dalton,,Reed,United States,2013-05-10,SO57784,2013-05-10 00:00:00.000,2438.06,0
12349,Lacey,W,Yuan,Australia,2011-12-29,SO55446,2013-03-31 00:00:00.000,2329.98,458
25567,Dennis,E,Zheng,Australia,2011-05-12,SO44642,2011-05-12 00:00:00.000,699.0982,0
13000,Rafael,M,Raje,Australia,2012-04-09,SO47798,2012-04-09 00:00:00.000,2071.4196,0
14270,James,F,Ross,United States,2012-06-21,SO57826,2013-05-11 00:00:00.000,793.76,324
14722,Sharon,L,Carson,United States,2011-07-31,SO45263,2011-07-31 00:00:00.000,699.0982,0
21274,Seth,,Scott,United States,2013-09-14,SO66364,2013-09-14 00:00:00.000,1197.97,0
16778,Blake,G,Hayes,United States,2013-10-27,SO69286,2013-10-27 00:00:00.000,2541.32,0
13485,Thomas,J,Allen,United States,2013-02-15,SO52809,2013-02-15 00:00:00.000,36.96,0
28658,Jasmine,E,Bailey,United States,2011-05-10,SO44625,2011-05-10 00:00:00.000,3578.27,0
19768,Christopher,C,Jackson,United States,2013-04-21,SO56592,2013-04-21 00:00:00.000,1143.46,0
23862,Rebekah,B,Kapoor,United States,2013-03-31,SO55409,2013-03-31 00:00:00.000,69.97,0
16594,Andrew,C,Jones,United Kingdom,2012-05-21,SO65609,2013-09-02 00:00:00.000,2433.04,469
14171,Michele,A,Lal,Germany,2011-08-08,SO72948,2013-12-12 00:00:00.000,638.95,857
27525,Ariana,K,Sanders,United States,2013-03-08,SO54052,2013-03-08 00:00:00.000,182.78,0
11845,Natalie,A,Jones,Canada,2013-02-13,SO72669,2013-12-09 00:00:00.000,49.97,299
13768,Ross,B,Munoz,France,2012-01-17,SO70447,2013-11-09 00:00:00.000,539.99,662
19651,Jarrod,C,Perez,Australia,2014-01-05,SO74367,2014-01-05 00:00:00.000,59.25,0
14456,Benjamin,,Walker,United States,2012-10-30,SO50354,2012-10-30 00:00:00.000,1000.4375,0
13111,Hannah,R,Butler,Australia,2012-06-29,SO72495,2013-12-06 00:00:00.000,2385.94,525
14633,Timothy,,Morgan,Canada,2013-02-16,SO52859,2013-02-16 00:00:00.000,71.58,0
28146,Gavin,C,Washington,United States,2013-07-07,SO61676,2013-07-07 00:00:00.000,60.47,0
16630,Jaime,L,Sutton,Australia,2011-01-28,SO43842,2011-01-28 00:00:00.000,3578.27,0
